-1	-1	0.367879
-1	-0.6	0.697676
-1	-0.2	0.960789
-1	0.2	0.960789
-1	0.6	0.697676
-1	1	0.367879
-0.6	-1	0.697676
-0.6	-0.6	1.34389
-0.6	-0.2	1.87156
-0.6	0.2	1.87156
-0.6	0.6	1.34389
-0.6	1	0.697676
-0.2	-1	0.960789
-0.2	-0.6	1.87156
-0.2	-0.2	2.61029
-0.2	0.2	2.61029
-0.2	0.6	1.87156
-0.2	1	0.960789
0.2	-1	0.960789
0.2	-0.6	1.87156
0.2	-0.2	2.61029
0.2	0.2	2.61029
0.2	0.6	1.87156
0.2	1	0.960789
0.6	-1	0.697676
0.6	-0.6	1.34389
0.6	-0.2	1.87156
0.6	0.2	1.87156
0.6	0.6	1.34389
0.6	1	0.697676
1	-1	0.367879
1	-0.6	0.697676
1	-0.2	0.960789
1	0.2	0.960789
1	0.6	0.697676
1	1	0.367879
